Title,Description,Tags,Image_Path,Price,AI_Disclosure,Tier,Aesthetic_Score
"Minimalist Luxury backyard fire pit with curved seating, warm ambient l Art Print — Aesthetic Digital Download","Elevate your space with this Luxury backyard fire pit with curved seating, warm ambient l wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-07-14/Luxury_backyard_fire_pit_with_curved_seating%2C_warm_ambient_lighting%2C_landscaped__mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.94
Minimalist four different pictures with statues and water in the middle Art Print — Aesthetic Digital Download,"Elevate your space with this four different pictures with statues and water in the middle wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-27/four_different_pictures_with_statues_and_water_in_the_middle_one_has_a_vase_on_i_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.79
Minimalist You'll love this Thai chicken curry with coconut milk! Not o Art Print — Aesthetic Digital Download,"Elevate your space with this You'll love this Thai chicken curry with coconut milk! Not o wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-07-17/You%27ll_love_this_Thai_chicken_curry_with_coconut_milk%21_Not_only_is_this_homemade_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.77
Minimalist an oil painting of ballet dancers in front of a mirror with  Art Print — Aesthetic Digital Download,"Elevate your space with this an oil painting of ballet dancers in front of a mirror with  wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-07-19/an_oil_painting_of_ballet_dancers_in_front_of_a_mirror_with_their_backs_turned_t_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.77
"Minimalist A stroke of light for the eyes—this long-wear, multichrome l Art Print — Aesthetic Digital Download","Elevate your space with this A stroke of light for the eyes—this long-wear, multichrome l wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-24/A_stroke_of_light_for_the_eyes%E2%80%94this_long-wear%2C_multichrome_liquid_eyeliner_featu_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.28
"Minimalist Butterfly Makeup, Pride Makeup, Face Art Makeup, Rave Makeup Art Print — Aesthetic Digital Download","Elevate your space with this Butterfly Makeup, Pride Makeup, Face Art Makeup, Rave Makeup wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-29/Butterfly_Makeup%2C_Pride_Makeup%2C_Face_Art_Makeup%2C_Rave_Makeup%2C_Eye_Makeup_Picture_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.16
Minimalist two bowls filled with chicken noodle soup next to carrots Art Print — Aesthetic Digital Download,"Elevate your space with this two bowls filled with chicken noodle soup next to carrots wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-19/two_bowls_filled_with_chicken_noodle_soup_next_to_carrots_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,9.11
Minimalist two_white_bowls_filled_with_chicken_soup_on_top_of_a_table.p Art Print — Aesthetic Digital Download,"Elevate your space with this two_white_bowls_filled_with_chicken_soup_on_top_of_a_table.p wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-18/two_white_bowls_filled_with_chicken_soup_on_top_of_a_table_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,8.85
Minimalist two_bowls_filled_with_chicken_soup_on_top_of_a_blue_and_whit Art Print — Aesthetic Digital Download,"Elevate your space with this two_bowls_filled_with_chicken_soup_on_top_of_a_blue_and_whit wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-18/two_bowls_filled_with_chicken_soup_on_top_of_a_blue_and_white_table_cloth_next_t_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,8.84
"Minimalist a_bathroom_with_two_sinks_and_a_bathtub_in_the_middle,_along Art Print — Aesthetic Digital Download","Elevate your space with this a_bathroom_with_two_sinks_and_a_bathtub_in_the_middle,_along wall art piece. Perfect for a neutral, minimalist gallery wall. High-resolution digital download — print at home or at a local print shop. Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.","minimalist, aesthetic, wall art, digital download, modern decor, abstract print",https://raw.githubusercontent.com/nguyenhailong253/ai-art-gallery/master/shop/2026-06-18/a_bathroom_with_two_sinks_and_a_bathtub_in_the_middle%2C_along_with_a_large_mirror_mockup.jpg,15.00,"Created with the assistance of AI tools, then curated and quality-checked by hand. Digital download — no physical item shipped.",curated,8.76
