n,id,file,title,duration_s,size_mb,sha256
1,01-emu-war,01-emu-war.mp4,Australia Went To War With Birds... And Lost,43.77,8.323,51c82bef96720a84c82d86418039621e2f1cfc5d0da08fbfc4f9ca14a789086b
2,02-wow-signal,02-wow-signal.mp4,The 'Wow!' Signal: A Message We Can't Explain,44.0,8.87,4ccb1eb8fe5b088ba1193e74a647a41c2ba7308cd618216d00729fc1b2c0c4c5
3,03-cleopatra-timeline,03-cleopatra-timeline.mp4,Cleopatra Lived Closer To The Moon Landing Than To The Pyramids,32.3,6.441,a08fc80d71e6c0afa34cd3c7eaafb28c470812dba88a565574216e63a367d9e2
4,04-octopus-hearts,04-octopus-hearts.mp4,An Octopus Has Three Hearts And Blue Blood,41.07,8.205,dae34d5aca1db4381ccb8c3af4dc6af8cfa8461be75e03524077ef2345f98aa0
5,05-antikythera,05-antikythera.mp4,"The 2,000-Year-Old Computer Found In A Shipwreck",40.47,8.389,39bcba8af6f699a113ac745ceed4accd54b7e0e1b55007caadf089cc1698bde8
6,06-shortest-war,06-shortest-war.mp4,The Shortest War In History Lasted 38 Minutes,43.5,8.222,b7389698e4f36d95d7b8b8860fcf5b321fcebc2bab207de08de9a2bf03d49f9f
7,07-honey-forever,07-honey-forever.mp4,Honey Is The Only Food That Never Spoils,41.87,8.413,736d901e131270b73d2237ab2442685e7f98f8ed0976a80f3e67ba41e426d8dd
8,08-eiffel-summer,08-eiffel-summer.mp4,The Eiffel Tower Is Taller In Summer,34.77,7.662,6e28e99293f7897ec93c298bea8fffd2fd3549c3b757615b860b87c6bc299b9b
9,09-molasses-flood,09-molasses-flood.mp4,The Great Molasses Flood Of 1919,40.83,8.189,e1f0b2b2d666ea99cd13045d3892f00c139248671da630421bf30ac46acb274b
10,10-trees-vs-stars,10-trees-vs-stars.mp4,There Are More Trees Than Stars In The Milky Way,39.57,8.277,1b72819fd231c26802cf57ddbe6d094e5e3274ee8fa4d988705e6291ef0b39b9
